,protocol,use_case,testbed,transmitters,project_name,center_freq,rec_length,decimation,sdr,hw_sample_rate,effective_sample_rate,signal_type,date_recorded,time_recorded,author,sample_rate,packet_per_block,samples_per_packet
0,unknown,ambient,queen_street_supervisor,ambient,LnC,2420000000.0,6000000,1,BladeRF,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,150946,,,,
1,unknown,ambient,queen_street_supervisor,ambient,LnC,2420000000.0,6000000,1,USRPX300,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,165020,,,,
2,unknown,ambient,queen_street_supervisor,ambient,LnC,2426666666.0,4000000,1,BladeRF,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,150933,,,,
3,unknown,ambient,queen_street_supervisor,ambient,LnC,2426666666.0,4000000,1,USRPX300,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,165004,,,,
4,unknown,ambient,queen_street_supervisor,ambient,LnC,2430000000.0,6000000,1,BladeRF,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,150948,,,,
5,unknown,ambient,queen_street_supervisor,ambient,LnC,2430000000.0,6000000,1,USRPX300,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,165023,,,,
6,unknown,ambient,queen_street_supervisor,ambient,LnC,2433333333.0,2000000,1,BladeRF,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,150919,,,,
7,unknown,ambient,queen_street_supervisor,ambient,LnC,2433333333.0,4000000,1,BladeRF,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,150935,,,,
8,unknown,ambient,queen_street_supervisor,ambient,LnC,2433333333.0,2000000,1,USRPX300,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,164948,,,,
9,unknown,ambient,queen_street_supervisor,ambient,LnC,2433333333.0,4000000,1,USRPX300,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,165007,,,,
10,unknown,ambient,queen_street_supervisor,ambient,LnC,2436666666.0,1000000,1,BladeRF,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,150902,,,,
11,unknown,ambient,queen_street_supervisor,ambient,LnC,2436666666.0,2000000,1,BladeRF,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,150922,,,,
12,unknown,ambient,queen_street_supervisor,ambient,LnC,2436666666.0,1000000,1,USRPX300,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,164932,,,,
13,unknown,ambient,queen_street_supervisor,ambient,LnC,2436666666.0,2000000,1,USRPX300,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,164951,,,,
14,unknown,ambient,queen_street_supervisor,ambient,LnC,2438333333.0,1000000,1,BladeRF,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,150906,,,,
15,unknown,ambient,queen_street_supervisor,ambient,LnC,2438333333.0,1000000,1,USRPX300,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,164935,,,,
16,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,1000000,1,BladeRF,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,150909,,,,
17,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,2000000,1,BladeRF,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,150924,,,,
18,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,4000000,1,BladeRF,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,150938,,,,
19,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,6000000,1,BladeRF,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,150950,,,,
20,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,2000000,1,USRPX300,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,164818,,,,
21,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,1000000,1,USRPX300,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,164938,,,,
22,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,2000000,1,USRPX300,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,164954,,,,
23,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,4000000,1,USRPX300,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,165010,,,,
24,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,6000000,1,USRPX300,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,165026,,,,
25,unknown,ambient,queen_street_supervisor,ambient,LnC,2441666666.0,1000000,1,BladeRF,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,150913,,,,
26,unknown,ambient,queen_street_supervisor,ambient,LnC,2441666666.0,1000000,1,USRPX300,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,164941,,,,
27,unknown,ambient,queen_street_supervisor,ambient,LnC,2443333333.0,1000000,1,BladeRF,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,150916,,,,
28,unknown,ambient,queen_street_supervisor,ambient,LnC,2443333333.0,2000000,1,BladeRF,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,150927,,,,
29,unknown,ambient,queen_street_supervisor,ambient,LnC,2443333333.0,1000000,1,USRPX300,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,164944,,,,
30,unknown,ambient,queen_street_supervisor,ambient,LnC,2443333333.0,2000000,1,USRPX300,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,164958,,,,
31,unknown,ambient,queen_street_supervisor,ambient,LnC,2446666666.0,2000000,1,BladeRF,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,150930,,,,
32,unknown,ambient,queen_street_supervisor,ambient,LnC,2446666666.0,4000000,1,BladeRF,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,150941,,,,
33,unknown,ambient,queen_street_supervisor,ambient,LnC,2446666666.0,2000000,1,USRPX300,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,165001,,,,
34,unknown,ambient,queen_street_supervisor,ambient,LnC,2446666666.0,4000000,1,USRPX300,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,165013,,,,
35,unknown,ambient,queen_street_supervisor,ambient,LnC,2450000000.0,6000000,1,BladeRF,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,150953,,,,
36,unknown,ambient,queen_street_supervisor,ambient,LnC,2450000000.0,6000000,1,USRPX300,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,165029,,,,
37,unknown,ambient,queen_street_supervisor,ambient,LnC,2453333333.0,4000000,1,BladeRF,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,150943,,,,
38,unknown,ambient,queen_street_supervisor,ambient,LnC,2453333333.0,4000000,1,USRPX300,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,165017,,,,
39,unknown,ambient,queen_street_supervisor,ambient,LnC,2460000000.0,6000000,1,BladeRF,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,150955,,,,
40,unknown,ambient,queen_street_supervisor,ambient,LnC,2460000000.0,6000000,1,USRPX300,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,165032,,,,
41,unknown,ambient,queen_street_supervisor,ambient,LnC,2610000000.0,6000000,1,BladeRF,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,164616,,,,
42,unknown,ambient,queen_street_supervisor,ambient,LnC,2610000000.0,6000000,1,USRPX300,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,165211,,,,
43,unknown,ambient,queen_street_supervisor,ambient,LnC,2616666666.0,4000000,1,BladeRF,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,164603,,,,
44,unknown,ambient,queen_street_supervisor,ambient,LnC,2616666666.0,4000000,1,USRPX300,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,165155,,,,
45,unknown,ambient,queen_street,ambient,none,2620000000.0,1500000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,000122,,,,
46,unknown,ambient,queen_street,ambient,none,2620000000.0,150000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,000155,,,,
47,unknown,ambient,queen_street,ambient,none,2620000000.0,100000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,000224,,,,
48,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-12,000436,,,,
49,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-12,000947,,,,
50,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-12,001259,,,,
51,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-12,001332,,,,
52,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-12,002121,,,,
53,unknown,ambient,queen_street,ambient,none,2620000000.0,100000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,002135,,,,
54,unknown,ambient,queen_street,ambient,none,2620000000.0,1000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,002153,,,,
55,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-12,002313,,,,
56,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-12,002332,,,,
57,unknown,ambient,queen_street,ambient,none,2620000000.0,1000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,002706,,,,
58,unknown,ambient,queen_street,ambient,none,2620000000.0,1600000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,002732,,,,
59,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-12,002824,,,,
60,unknown,ambient,queen_street,ambient,none,2620000000.0,800000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,002827,,,,
61,unknown,ambient,queen_street,ambient,none,2620000000.0,800000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,002920,,,,
62,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-12,002933,,,,
63,unknown,ambient,queen_street,ambient,none,2620000000.0,600000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,002948,,,,
64,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-12,003000,,,,
65,unknown,ambient,queen_street,ambient,none,2620000000.0,600000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,004426,,,,
66,unknown,ambient,queen_street,ambient,none,2620000000.0,600000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,004448,,,,
67,unknown,ambient,queen_street,ambient,none,2620000000.0,900000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,004604,,,,
68,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,004629,,,,
69,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,004648,,,,
70,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,004803,,,,
71,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,004848,,,,
72,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,004909,,,,
73,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,004949,,,,
74,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,004957,,,,
75,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,005205,,,,
76,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,005225,,,,
77,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,005258,,,,
78,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,005326,,,,
79,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,005355,,,,
80,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,005416,,,,
81,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,005529,,,,
82,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,005656,,,,
83,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,005747,,,,
84,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,005805,,,,
85,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,005957,,,,
86,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,010221,,,,
87,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,152052,,,,
88,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,152331,,,,
89,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,152531,,,,
90,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,153623,,,,
91,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,153652,,,,
92,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,155016,,,,
93,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,155656,,,,
94,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,155957,,,,
95,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,160237,,,,
96,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,160518,,,,
97,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,160551,,,,
98,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,160653,,,,
99,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,161611,,,,
100,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,162001,,,,
101,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,163700,,,,
102,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,164512,,,,
103,unknown,ambient,queen_street_supervisor,ambient,LnC,2620000000.0,6000000,1,BladeRF,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,164618,,,,
104,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,164731,,,,
105,unknown,ambient,queen_street_supervisor,ambient,LnC,2620000000.0,6000000,1,USRPX300,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,165214,,,,
106,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,165251,,,,
107,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,165749,,,,
108,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,170033,,,,
109,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,170136,,,,
110,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,170645,,,,
111,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,170928,,,,
112,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,171211,,,,
113,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,171905,,,,
114,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,172326,,,,
115,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,172638,,,,
116,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,172709,,,,
117,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,172819,,,,
118,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,172956,,,,
119,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,173148,,,,
120,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,173450,,,,
121,unknown,ambient,queen_street,ambient,none,2620000000.0,15000000,1,BladeRF,61440000.0,61440000.0,Recorded Baseband-IQ,10-10,214730,,,,
122,unknown,ambient,queen_street,ambient,none,2620000000.0,15000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-10,214816,,,,
123,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,215131,,,,
124,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,215321,,,,
125,unknown,ambient,queen_street,ambient,none,2620000000.0,15000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-10,215450,,,,
126,unknown,ambient,queen_street,ambient,none,2620000000.0,15000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-10,215558,,,,
127,unknown,ambient,queen_street,ambient,none,2620000000.0,15000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-10,220532,,,,
128,unknown,ambient,queen_street,ambient,none,2620000000.0,15000000,1,BladeRF,61440000.0,61440000.0,Recorded Baseband-IQ,10-10,220607,,,,
129,unknown,ambient,queen_street,ambient,none,2620000000.0,15000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-10,220627,,,,
130,unknown,ambient,queen_street,ambient,none,2620000000.0,15000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-10,220908,,,,
131,unknown,ambient,queen_street,ambient,none,2620000000.0,15000000,1,USRPX300,61440000.0,61440000.0,Recorded Baseband-IQ,10-10,220929,,,,
132,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,221146,,,,
133,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,221239,,,,
134,unknown,ambient,queen_street,ambient,none,2620000000.0,9000000,1,synthetic_sdr,61440000.0,61440000.0,Recorded Baseband-IQ,10-11,221315,,,,
135,unknown,ambient,queen_street,ambient,none,2620000000.0,15000000,1,USRPX300,25000000.0,25000000.0,Recorded Baseband-IQ,10-10,221537,,,,
136,unknown,ambient,queen_street,ambient,none,2620000000.0,15000000,1,USRPX300,25000000.0,25000000.0,Recorded Baseband-IQ,10-10,221645,,,,
137,unknown,ambient,queen_street,ambient,none,2620000000.0,15000000,1,USRPX300,25000000.0,25000000.0,Recorded Baseband-IQ,10-10,221736,,,,
138,unknown,ambient,queen_street,ambient,none,2620000000.0,15000000,1,USRPX300,25000000.0,25000000.0,Recorded Baseband-IQ,10-10,221821,,,,
